MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
 Anne,(2017–2019),"
Drama, Family            ",9.2,"
The students sit for the Queens entrance exams.","
    Director:
Amanda Tapping
| 
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Dalila Bela
","1,524",44,
 Transformers: War for Cybertron,(2020–2021),"
Animation, Action, Adventure            ",7.3,"
Mercenary Transformers come upon the Ark adrift in space. As unlikely allies arrive to rescue the imprisoned Autobots, Megatron reveals Project Nemesis.","
    Directors:
Takashi Kamei, 
Kazuma Shimizu
| 
    Stars:
Jason Marnocha, 
Jake Foushee, 
Linsay Rousseau, 
Michael Schwalbe
",114,25,
 Transformers: War for Cybertron,(2020–2021),"
Animation, Action, Adventure            ",7.3,"
The Autobots locate the Allspark, but a deserted space station and its lone occupant stand in the way. The Decepticons catch up with the Ark.","
    Directors:
Takashi Kamei, 
Koji
| 
    Stars:
Jason Marnocha, 
Jake Foushee, 
Linsay Rousseau, 
Joe Zieja
",105,24,
 Transformers: War for Cybertron,(2020–2021),"
Animation, Action, Adventure            ",7.6,"
Megatron faces a life-or-death situation. As the Autobots and Decepticons work together to fight against Scorponok, Starscream tries to seize power.","
    Directors:
Takashi Kamei, 
Kazuma Shimizu
| 
    Stars:
Jason Marnocha, 
Jake Foushee, 
Joe Zieja, 
Frank Todaro
",111,24,
 White Lines,(2020),"
Crime, Drama, Mystery            ",6.7,"
The discovery of a body believed to be her brother leads Zoe Walker to Ibiza, where she reconnects with his old friend Marcus, a DJ and drug dealer.","
    Director:
Nick Hamm
| 
    Stars:
Laura Haddock, 
Nuno Lopes, 
Marta Milans, 
Daniel Mays
",523,,
 Luna Nera,(2020– ),"
Drama, Fantasy, Thriller            ",4.9,"
Teenage Ade has a dark premonition while helping her grandmother deliver a baby. The two are accused of witchcraft and one is sentenced to death.","
            
    Stars:
Antonia Fotaras, 
Daniele Amendola, 
Marilena Anniballi, 
Gaetano Aronica
",173,46,
 Luna Nera,(2020– ),"
Drama, Fantasy, Thriller            ",4.8,"
While women's voices plague her, Ade struggles with how to respond to Pietro's proposal. Leptis teaches Valente how to use a bow and arrow.","
            
    Stars:
Antonia Fotaras, 
Giorgio Belli, 
Paolo Bernardini, 
Gloria Carovana
",144,43,
 Luna Nera,(2020– ),"
Drama, Fantasy, Thriller            ",4.7,"
While women's voices plague her, Ade struggles with how to respond to Pietro's proposal. Leptis teaches Valente how to use a bow and arrow","
            
    Stars:
Antonia Fotaras, 
Daniele Amendola, 
Giorgio Belli, 
Gloria Carovana
",128,40,
 The Stranger,(2020),"
Crime, Drama, Mystery            ",7.6,"
The boys make a discovery that sets Adam on Corinne's trail - and dredges up an old secret of his own. Kimberly gives Johanna a lead about Heidi.","
    Director:
Hannah Quinn
| 
    Stars:
Richard Armitage, 
Camilla Arfwedson, 
Vikash Bhai, 
Clinton Blake
",893,44,
 The Stranger,(2020),"
Crime, Drama, Mystery            ",7.9,"
Adam tells Johanna about his encounter with the stranger. The kids spy on Olivia's house. Martin's appeals finally run out.","
    Director:
Hannah Quinn
| 
    Stars:
Richard Armitage, 
Pasha Bocarie, 
Shaun Dooley, 
Kai Alexander
",879,42,
 The Stranger,(2020),"
Crime, Drama, Mystery            ",7.8,"
A shocking confession sends Adam reeling. Armed with new information, Johanna sets up a meeting - putting Katz in the hot seat.","
    Director:
Hannah Quinn
| 
    Stars:
Richard Armitage, 
Shaun Dooley, 
Misha Ade, 
Kai Alexander
",849,50,
 The Stranger,(2020),"
Crime, Drama, Mystery            ",8.0,"
With help from an unlikely ally, Adam uncovers a startling secret. Backed into a corner, Katz makes a rash decision.","
    Director:
Daniel O'Hara
| 
    Stars:
Richard Armitage, 
Kai Alexander, 
Yinka Awoni, 
Aurora Burghart
",842,42,
 The Stranger,(2020),"
Crime, Drama, Mystery            ",7.8,"
A violent confrontation leads to new revelations, and the truth about Corinne's disappearance finally emerges.","
    Director:
Daniel O'Hara
| 
    Stars:
Richard Armitage, 
Kai Alexander, 
Manoj Anand, 
Yinka Awoni
",927,43,
 Leila,(2019– ),"
Drama, Sci-Fi            ",5.2,"
While running from Bhanu and his men, Shalini meets an unlikely companion. As the two head to and reach Unnati, vivid memories replay in Shalini's mind","
    Director:
Deepa Mehta
| 
    Stars:
Huma Qureshi, 
Rahul Khanna, 
Siddharth, 
Leysha Mange
",246,49,
 Leila,(2019– ),"
Drama, Sci-Fi            ",4.9,"
Hoping to track down a reporter who could help her search for Leila, Shalini makes a risky deal. Secrets emerge about the family she now works for","
    Director:
Shanker Raman
| 
    Stars:
Huma Qureshi, 
Rahul Khanna, 
Siddharth, 
Leysha Mange
",229,48,
 Leila,(2019– ),"
Drama, Sci-Fi            ",5.1,"
Determined to follow a new lead on Leila's whereabouts, Shalini negotiates with Bhanu, who hesitates to trust her but knows she has something he wants","
    Director:
Shanker Raman
| 
    Stars:
Huma Qureshi, 
Rahul Khanna, 
Siddharth, 
Leysha Mange
",218,41,
 Leila,(2019– ),"
Drama, Sci-Fi            ",5.0,"
After learning of a painful betrayal, Shalini agrees to be a mole at an Aryavarta politician's home in exchange for the rebels' help in locating Leila","
    Director:
Pawan Kumar
| 
    Stars:
Huma Qureshi, 
Rahul Khanna, 
Siddharth, 
Leysha Mange
",227,42,
 Leila,(2019– ),"
Drama, Sci-Fi            ",4.9,"
Shalini's surreptitious activities at Rao's house threaten to expose her. On the eve of the Skydome event, Bhanu comes up with an unexpected plan","
    Director:
Shanker Raman
| 
    Stars:
Huma Qureshi, 
Rahul Khanna, 
Siddharth, 
Leysha Mange
",225,40,
 How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",7.9,"
Lisa lands in trouble with her parents. Moritz reprograms MyTems into an online drug store and tries to make amends to Lenny.","
    Director:
Lars Montag
| 
    Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",770,29,
 How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",7.9,"
Business is booming, and Buba wants a piece of the action - but the product is getting bad reviews. Lisa thinks Dan has been ignoring her.","
    Director:
Lars Montag
| 
    Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",729,28,
 How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",8.0,"
Moritz's reputation takes a hit. After discovering a troubling email, Lenny confides in a new friend. Jens enlists Moritz to crack a password.","
    Director:
Arne Feldhusen
| 
    Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",713,28,
 How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",8.0,"
Lenny sets up the clear web shop while Moritz secretly meets a new supplier in Rotterdam. But the friends don't see eye to eye about their future.","
    Director:
Arne Feldhusen
| 
    Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",704,24,
 How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",8.5,"
Things begin to unravel the day after the party, and Moritz is forced to turn to his rival for help. Lisa has a change of heart.","
    Director:
Arne Feldhusen
| 
    Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",796,28,
 Oktoberfest: Beer & Blood,(2020),"
Drama, History, Thriller            ",6.9,"
Prank's plans for a beer hall and a wealthy suitor of daughter Clara are derided by Munich's elite, but soon only the Hoflingers remain in his way.","
    Director:
Hannu Salonen
| 
    Stars:
Misel Maticevic, 
Martina Gedeck, 
Klaus Steinbacher, 
Mercedes Müller
",125,48,
 Oktoberfest: Beer & Blood,(2020),"
Drama, History, Thriller            ",6.9,"
The murder of Ignatz Hoflinger shocks Munich but gives Prank an opportunity to seize the victim's festival lot. Roman and Clara awkwardly meet again.","
    Director:
Hannu Salonen
| 
    Stars:
Misel Maticevic, 
Martina Gedeck, 
Klaus Steinbacher, 
Mercedes Müller
",104,48,
 Unorthodox,(2020),"
Drama            ",7.9,"
Born and raised in a New York Hasidic community, Esty struggles after a fruitless first year of marriage. She runs away to Berlin and finds new freedom.","
    Director:
Maria Schrader
| 
    Stars:
Shira Haas, 
Amit Rahav, 
Jeff Wilbusch, 
Alex Reid
","1,546",53,
 Unorthodox,(2020),"
Drama            ",8.1,"
Esty's Berlin friends challenge many of her old beliefs, but also provide a safe space to explore new ways of being. Yanky and Moishe search for Esty.","
    Director:
Maria Schrader
| 
    Stars:
Shira Haas, 
Amit Rahav, 
Jeff Wilbusch, 
Alex Reid
","1,413",53,
 Unorthodox,(2020),"
Drama            ",8.0,"
As Moishe secretly gathers evidence against Esty, she realizes she needs help to audition for the scholarship she desperately needs.","
    Director:
Maria Schrader
| 
    Stars:
Shira Haas, 
Amit Rahav, 
Jeff Wilbusch, 
Alex Reid
","1,330",55,
 Unorthodox,(2020),"
Drama            ",8.3,"
Moishe brutally confronts Esty, sending her running to Leah for help. After Esty has her audition, she and Yanky have it out.","
    Director:
Maria Schrader
| 
    Stars:
Shira Haas, 
Amit Rahav, 
Jeff Wilbusch, 
Alex Reid
","1,377",54,
 Alta mar,(2019–2020),"
Crime, Drama, Mystery            ",7.5,"
After The Arrival of Survivals, the Crew continue hunting Eva and Carolina's Father and leading us to new mysteries to uncover.","
    Director:
Manuel Gómez Pereira
| 
    Stars:
Ivana Baquero, 
Jon Kortajarena, 
Alejandra Onieva, 
Eloy Azorín
",126,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When the mine's owner comes to visit, Pedro takes a risk and proposes an idea that could benefit everyone. Nicuesa puts the convent under surveillance.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",6.8,"
An indigenous woman kidnapped by a conquistador returns to her tribe, helped by her Spanish lover, but a turn of events destroys her trust in him.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",5,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro frees Catalina and the two escape, but not without serious injury. As Pedro nurses Catalina, a bond develops between them.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When the governor orders Catalina's return to Nicuesa, Father Bartolomé and Catalina appear before the government official to plead their case.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Beatriz offers Andrés intel, in exchange for her passage on a ship. Nicuesa's men abduct Enriquillo and hold him for a ransom: Catalina.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When Pedro returns and finds Mencía beaten, he attacks Linares. But in the ensuing scuffle, Fernando is accidentally shot, and Pedro must save him.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro helps Catalina escape from the ship, but once on land again, he's captured by Andrés, who believes it was Pedro who led the slave rebellion.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
With help from Mencía, Beatriz, and Father Bartolomé, Pedro is rescued from his executioners and stowed away on a ship with Catalina.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Badillo agrees to help Catalina find her tribe, but wants her help in return. Meanwhile, Pedro returns to Spain to save his brother from execution.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
To save Alberto's life, Pedro orders Alonso to offer Azula a deal. Badillo's wife manipulates Catalina into going on a fool's errand.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Vladimir Bernal, 
Manuel Navarro
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Badillo refuses to sign a confession to ensure his wife's safe return, forcing Catalina and Etoc to change strategy. Pedro sets sail for the New World.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Vladimir Bernal, 
Manuel Navarro
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
As Pedro's trial begins, his life depends on whether Constanza was able to find a person of influence to help him. Catalina joins forces with Etoc.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Vladimir Bernal, 
Manuel Navarro
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Constanza asks Inés if she knows anyone trustworthy to be Sol's new nanny. Pedro founds the town of Cartagena, and reunites Catalina with her tribe.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
A shocking turn of events leaves Catalina feeling betrayed and vowing revenge, while Pedro finds himself a captive on his own ship.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Constanza sets out to forge a friendship with Pedro's sister-in-law. Pedro arrives in Santa Marta, where he must play hardball for Catalina's release.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When Pedro immediately sets sail again to go back to the New World, a stunned and desperate Constanza makes Alberto an offer he can't refuse.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Sol sets out to change her mother's mind about moving to Spain. Catalina arrives in Cartagena to get revenge. Alberto makes plans behind Pedro's back.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When Juan sees through Sol's act, she makes a deal with him instead. Catalina finds an escort for the party, where she comes face-to-face with Pedro.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Sol and Catalina scramble to protect Juan from Pedro. When Alberto refuses to abandon his plans of rescuing Sanya, Gonzalo takes a preventative measure.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Alonso tries to make the townspeople remember how Pedro helped them in the past. Catalina tracks down Juan and demands to know where Sol is.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When Sol's plan fails and she runs away, Catalina offers to help find her. Held captive, Alberto and his guide are told they must earn their freedom.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When their search for Sol takes them into the jungle's privacy, Catalina unleashes her fury at Pedro. Father Sancho takes advantage of Pedro's absence.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
During the council's vote on whether to oust Pedro as governor of Cartagena, Catalina takes steps to give the impression that she's on Pedro's side.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
After giving the newcomers a warm welcome to her mine, Rebeca reveals her dark side. Inés overhears Sol blaming herself for Manolo's injury.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Father Sancho moves into the governor's residence. Sol begins to suspect that Manolo is faking his coma, so she tests her theory. Juan's trial begins.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Father Sancho's surprising decision about Juan makes Pedro suspect that the priest is being manipulated. Rebeca forces Alberto to lead an expedition.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Catalina falsifies an official document to make Pedro worry and seek her help, and drives a wedge between him and Alonso.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Add a Plot
","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When Catalina realizes Father Sancho is suspicious and watching her, she has Juan visit Pedro as her go-between. Sol announces plans to her parents.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Catalina learns of Sanya's predicament and seizes it as a chance for Pedro to win back the townspeople's favor. Rebeca puts the gold dagger to use.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro insists on meeting the newly arrived judge. Alberto finally finds what he's been looking for. Sol receives an unexpected visitor at the convent.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Catalina works on winning the favor and trust of an unlikely person: Constanza. Inés has a falling out with her family.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Catalina manipulates Constanza into making a big decision without consulting Pedro. A miraculous find brings Alberto closer to Rebeca.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When Pedro's trial starts, Catalina is unable to hide her burning anger in the courtroom. Azucena secretly visits Sol, who's in solitary confinement.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro is given the judges' verdict. Catalina asks Father Bartolomé for one last favor. Constanza visits the convent and insists on seeing her daughter.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Catalina confides in Father Bartolomé, who gives her an invitation. Manolo proposes an idea to his mother. Inés extends an offer to Constanza.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro tells Catalina about his history with Constanza and makes a confession that forces her to rethink things. Juan helps Sol escape from the convent.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro learns about his wife's recent purchase. Alberto and Rebeca return to the mining camp. Constanza finds a familiar name in an unexpected place.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
A novitiate shares her suspicions about Sol with Mother Lola. One of Catalina's allies proves to be beyond her control. Inés succumbs to desperation.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro tracks down Catalina. Manolo takes steps to ensure Juan won't ruin his plan. Alberto and Rebeca are brought to their new captors' leader.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Buendía shares his grand scheme with Alberto and Rebeca. Constanza tries to coerce Meneses into revealing what he knows about Pedro and Catalina.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Catalina decides whether to leave. Desperate for definitive proof of her husband's infidelity, Constanza targets Meneses and takes drastic measures.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Sol and her mother work on convincing Pedro to allow an immediate wedding. Catalina and Alonso discuss affairs of the heart. Meneses is blackmailed.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Constanza learns Manolo has agreed to marry Sol - on one condition. Meneses calls off the investigation into Constanza's assault, raising suspicions.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Pedro puts his foot down with Constanza, who decides to pay a visit to Catalina to have a private conversation. Alonso admits something to Catalina.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
After discovering Juan has escaped, Manolo thinks of a way to get Sol to beg him to marry her right away. Alberto takes action to thwart Buendía's plan.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Alberto arrives back in Cartagena. Catalina reacts unexpectedly when Pedro confronts her about the slap. Manolo tells Sol the true reason she's ill.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Meneses makes a shocking confession to Constanza. Juan and Inés's relationship turns a corner. Catalina has a heart-to-heart talk with Alonso.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Sol overhears Manolo telling Alonso his true intentions. Alberto makes an alarming discovery in his wife's bedroom. Meneses's trial begins.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
At his trial, Pedro makes a statement that stuns the courtroom. Buendía and his new companions launch an attack on Cartagena.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Alonso asks Manolo to make a decision based on what's best for Sol's health. Catalina advises Constanza on the best way to get revenge against Pedro.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Inés confronts her son. Meneses gives his blackmailer intel. Pedro begs Catalina not to condemn Alonso and herself to an unhappy marriage.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Sol suddenly falls ill. Alberto awakens to find a letter nearby - and no Rebeca. Constanza plants the forged diary where Catalina will surely find it.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Meneses makes a confession to Pedro. Just as Juan begins to recover, he learns it's Sol's wedding day. Buendía's men lose faith in their leader's plan.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Alonso senses something is wrong with Catalina and demands the truth from her. Meneses's blackmailer and his men set out to intercept the gold shipment.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Sol grows suspicious of Manolo. Juan shows Inés what her son did to him. Constanza eagerly awaits to see what Catalina will do after reading the diary.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Catalina breaks the difficult news of Sol's pregnancy to Juan. Inés suspects something is going on between her husband and Rebeca.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Constanza tells Catalina of a surprise she's planning for Pedro. Manolo sneaks back into Cartagena to get medical help for Sol.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Olarte's widow testifies at the trial. Alberto asks to speak privately with Catalina. Juan reveals to Inés the significance of their new home.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
Rebeca talks to Alberto about their future as a couple. Catalina asks Alonso who the father of Sol's baby is. Juan and Inés arrive back in Cartagena.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
 Fuller House,(2016–2020),"
Comedy, Family            ",7.4,"
DJ and Steve take a cooking class. Meanwhile, Stephanie has a hard time keeping a promise to Max. Ramona falls for the cute food delivery guy.","
    Director:
Richard Correll
| 
    Stars:
Candace Cameron Bure, 
Jodie Sweetin, 
Andrea Barber, 
Michael Campion
",179,,
 Fuller House,(2016–2020),"
Comedy, Family            ",7.5,"
Jackson accidentally sends a bad post to Ramona's new boyfriend from her phone, Fernando has a crisis at the start of the Formula One Season after his retirement, Max is trying to do his first high dive.","
    Director:
Richard Correll
| 
    Stars:
Candace Cameron Bure, 
Jodie Sweetin, 
Andrea Barber, 
Michael Campion
",177,,
